Date,Amount,Category,Description,Department,Urgency,Complexity,AutoApprove,Approver,ApproverName,ApproverPosition,SpendingLimit,RequireReceipt,ComplianceLimit
2023-08-28 13:41:38.689755,216.02,Training,Training expense on 2023-08-28,Finance,Medium,Medium,False,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,True,300
2023-12-25 13:41:38.689755,416.35,Wifi,Wifi expense on 2023-12-25,Operations,Medium,Low,True,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,50
2023-10-29 13:41:38.689755,110.11,Office Supplies,Office Supplies expense on 2023-10-29,Finance,High,Low,True,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,False,100
2023-11-05 13:41:38.689755,23.37,Travel,Travel expense on 2023-11-05,HR,Medium,Low,False,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,True,500
2023-10-08 13:41:38.689755,196.76,Travel,Travel expense on 2023-10-08,Finance,Medium,High,False,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,500
2024-01-23 13:41:38.689755,273.03,Training,Training expense on 2024-01-23,HR,High,Medium,False,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,True,300
2023-11-12 13:41:38.689755,60.68,Miscellaneous,Miscellaneous expense on 2023-11-12,Operations,Medium,High,False,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,False,200
2023-10-22 13:41:38.689755,288.72,Office Supplies,Office Supplies expense on 2023-10-22,Operations,Medium,Low,True,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,False,100
2023-11-07 13:41:38.689755,256.57,Travel,Travel expense on 2023-11-07,HR,High,High,False,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,True,500
2024-02-06 13:41:38.689755,250.12,Marketing,Marketing expense on 2024-02-06,Operations,Low,Medium,False,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,1000
2023-08-01 13:41:38.689755,40.19,Marketing,Marketing expense on 2023-08-01,HR,Medium,Low,False,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,True,1000
2024-03-08 13:41:38.689755,202.03,Software,Software expense on 2024-03-08,IT,Medium,High,False,"{'Name': 'Bob', 'Position': 'Supervisor'}",Bob,Supervisor,1500,True,200
2024-01-09 13:41:38.689755,185.37,Marketing,Marketing expense on 2024-01-09,Finance,Medium,High,False,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,True,1000
2024-04-12 13:41:38.689755,147.3,Training,Training expense on 2024-04-12,IT,Medium,Low,False,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,True,300
2023-10-01 13:41:38.689755,399.02,Utilities,Utilities expense on 2023-10-01,Finance,Medium,Medium,True,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,False,200
2023-07-10 13:41:38.689755,273.93,Training,Training expense on 2023-07-10,IT,High,Medium,False,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,300
2023-09-17 13:41:38.689755,175.68,Utilities,Utilities expense on 2023-09-17,Operations,Low,Medium,True,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,False,200
2023-10-13 13:41:38.689755,129.71,Utilities,Utilities expense on 2023-10-13,HR,Medium,High,True,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,False,200
2023-05-27 13:41:38.689755,164.41,Utilities,Utilities expense on 2023-05-27,IT,Low,High,True,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,False,200
2024-01-30 13:41:38.689755,446.32,Office Supplies,Office Supplies expense on 2024-01-30,IT,Low,Low,True,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,False,100
2023-12-01 13:41:38.689755,397.86,Meals,Meals expense on 2023-12-01,HR,Medium,High,False,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,True,50
2023-12-17 13:41:38.689755,122.21,Maintenance,Maintenance expense on 2023-12-17,Operations,Low,Medium,True,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,500
2023-11-21 13:41:38.689755,65.09,Wifi,Wifi expense on 2023-11-21,IT,Medium,High,True,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,True,50
2023-09-04 13:41:38.689755,494.09,Meals,Meals expense on 2023-09-04,Operations,High,High,False,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,True,50
2023-12-29 13:41:38.689755,132.08,Maintenance,Maintenance expense on 2023-12-29,Finance,Medium,Low,True,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,True,500
2024-01-23 13:41:38.689755,54.5,Equipment,Equipment expense on 2024-01-23,Operations,Medium,Medium,False,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,True,1000
2023-05-29 13:41:38.689755,86.4,Meals,Meals expense on 2023-05-29,Finance,High,High,False,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,True,50
2023-12-07 13:41:38.689755,198.03,Marketing,Marketing expense on 2023-12-07,Finance,High,High,False,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,True,1000
2023-11-14 13:41:38.689755,51.72,Office Supplies,Office Supplies expense on 2023-11-14,IT,High,High,True,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,False,100
2024-01-03 13:41:38.689755,292.2,Miscellaneous,Miscellaneous expense on 2024-01-03,Operations,Low,Low,False,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,False,200
2023-05-22 13:41:38.689755,183.28,Travel,Travel expense on 2023-05-22,IT,Low,Low,False,"{'Name': 'Bob', 'Position': 'Supervisor'}",Bob,Supervisor,1500,True,500
2023-07-23 13:41:38.689755,294.66,Training,Training expense on 2023-07-23,HR,Medium,High,False,"{'Name': 'Bob', 'Position': 'Supervisor'}",Bob,Supervisor,1500,True,300
2023-07-12 13:41:38.689755,327.94,Equipment,Equipment expense on 2023-07-12,Operations,Low,Medium,False,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,True,1000
2024-01-07 13:41:38.689755,160.05,Office Supplies,Office Supplies expense on 2024-01-07,Operations,High,Medium,True,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,False,100
2023-08-08 13:41:38.689755,401.06,Travel,Travel expense on 2023-08-08,Operations,High,Low,False,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,True,500
2023-11-03 13:41:38.689755,187.03,Office Supplies,Office Supplies expense on 2023-11-03,HR,Low,Low,True,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,False,100
2023-06-16 13:41:38.689755,308.42,Maintenance,Maintenance expense on 2023-06-16,HR,High,High,True,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,500
2024-01-02 13:41:38.689755,429.28,Utilities,Utilities expense on 2024-01-02,HR,Medium,Low,True,"{'Name': 'Bob', 'Position': 'Supervisor'}",Bob,Supervisor,1500,False,200
2023-05-25 13:41:38.689755,405.91,Software,Software expense on 2023-05-25,HR,High,Medium,False,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,True,200
2024-03-15 13:41:38.689755,351.31,Equipment,Equipment expense on 2024-03-15,Finance,High,High,False,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,1000
2024-01-06 13:41:38.689755,225.95,Meals,Meals expense on 2024-01-06,Operations,High,High,False,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,50
2023-06-10 13:41:38.689755,17.5,Wifi,Wifi expense on 2023-06-10,IT,Medium,Low,True,"{'Name': 'Bob', 'Position': 'Supervisor'}",Bob,Supervisor,1500,True,50
2024-03-24 13:41:38.689755,305.48,Software,Software expense on 2024-03-24,Finance,Low,Low,False,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,True,200
2023-08-19 13:41:38.689755,147.66,Utilities,Utilities expense on 2023-08-19,Operations,High,High,True,"{'Name': 'Bob', 'Position': 'Supervisor'}",Bob,Supervisor,1500,False,200
2024-04-01 13:41:38.689755,388.87,Software,Software expense on 2024-04-01,Finance,High,Low,False,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,200
2023-06-09 13:41:38.689755,222.43,Utilities,Utilities expense on 2023-06-09,IT,High,Medium,True,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,False,200
2023-10-22 13:41:38.689755,392.18,Software,Software expense on 2023-10-22,Operations,Low,Medium,False,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,200
2023-12-25 13:41:38.689755,47.15,Travel,Travel expense on 2023-12-25,Finance,Low,Low,False,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,True,500
2023-05-09 13:41:38.689755,298.17,Marketing,Marketing expense on 2023-05-09,Operations,Medium,High,False,"{'Name': 'Bob', 'Position': 'Supervisor'}",Bob,Supervisor,1500,True,1000
2023-11-10 13:41:38.689755,68.31,Miscellaneous,Miscellaneous expense on 2023-11-10,Finance,High,Medium,False,"{'Name': 'Bob', 'Position': 'Supervisor'}",Bob,Supervisor,1500,False,200
2024-04-06 13:41:38.689755,425.5,Wifi,Wifi expense on 2024-04-06,Finance,Medium,Medium,True,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,True,50
2023-05-25 13:41:38.689755,276.98,Utilities,Utilities expense on 2023-05-25,Operations,Low,High,True,"{'Name': 'Bob', 'Position': 'Supervisor'}",Bob,Supervisor,1500,False,200
2023-07-15 13:41:38.689755,206.66,Travel,Travel expense on 2023-07-15,IT,Low,Low,False,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,True,500
2023-06-27 13:41:38.689755,288.62,Travel,Travel expense on 2023-06-27,Operations,High,Low,False,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,500
2024-03-19 13:41:38.689755,289.08,Training,Training expense on 2024-03-19,Operations,Low,Medium,False,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,True,300
2023-09-11 13:41:38.689755,198.4,Utilities,Utilities expense on 2023-09-11,Finance,High,High,True,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,False,200
2023-06-16 13:41:38.689755,85.7,Office Supplies,Office Supplies expense on 2023-06-16,Operations,Low,High,True,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,False,100
2024-02-29 13:41:38.689755,255.43,Equipment,Equipment expense on 2024-02-29,IT,Low,High,False,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,True,1000
2023-11-15 13:41:38.689755,83.03,Meals,Meals expense on 2023-11-15,HR,Medium,Medium,False,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,50
2024-04-20 13:41:38.689755,372.85,Utilities,Utilities expense on 2024-04-20,Operations,Low,Medium,True,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,False,200
2023-10-29 13:41:38.689755,252.53,Maintenance,Maintenance expense on 2023-10-29,Operations,Low,Medium,True,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,True,500
2024-01-20 13:41:38.689755,423.46,Training,Training expense on 2024-01-20,IT,Low,Low,False,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,300
2024-03-23 13:41:38.689755,139.84,Software,Software expense on 2024-03-23,HR,High,High,False,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,True,200
2024-01-09 13:41:38.689755,481.14,Equipment,Equipment expense on 2024-01-09,Operations,Low,Low,False,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,True,1000
